Name,Artist,Size,Price,Views,Favourites,Date,Subject,Medium,Material,Category,Country,CraftsAvailability
Choix De Textes limited edition 1 of 25, Alex Vignoli,57.6,1000,203,2,4/30/12,Culture,Digital,Craft & White Digital,Digital,United States,No
Audry, Hugo Daniel Kiekeben,6985.62,1000,1821,37,3/18/13,Pop Culture/Celebrity,Digital,Digital,Collage,Finland,Yes
Eternal Reflection, Sharyl Noday,1800,1050,231,3,11/30/04,Animal,Solid,Liquid Wax,Collage,United States,No
Tripudium, Matthew Priest,1008,1100,127,2,9/30/14,Architecture,Solid,Liquid,Liquiding,United States,No
Sunrise in Barbados, Elena Ivanova,340.816,1100,616,13,3/22/15,Seascape,Liquid,Liquid,Liquiding,United Kingdom,No
Pretty Boys - No.12, Hormazd Narielwalla,333.04,1100,205,6,7/16/13,Fashion,Craft,Craft,Collage,United Kingdom,No
Apollo, Stefan Albert Haring,164.944,1150,1455,24,9/30/09,Religious,Digital,Digital Craft Craft Craft Craft,Drawing,Austria,No
Pablo Honey (Picasso Portrait 2016) Unique MonoCraft 23.5 inches Square 1/1, Czar Catstick,57.6,1200,629,28,1/22/16,Portrait,Digital,Digital Digital Liquid Sugar Dada Fizzy Pop Scribbles,Collage,United Kingdom,Yes
Ashgrove Aspley to Wavell Heights., James Watts,562.32,1200,1101,36,6/9/11,Architecture,Solid,Solid,Sculpture,Australia,No
Walker Texas Rangers, Daniel Romano,13162.5,1200,1133,17,9/25/14,Culture,Solid,Solid Rubber,Sculpture,United States,Yes
Abstract series , Martin Dingli,38.809,1200,54,2,3/7/16,Abstract,Solid,Liquid,Liquiding,Australia,Yes
Doberman Pinscher, Michel Keck,32,1200,1890,20,2/4/09,Animal,Craft,Craft,Collage,United States,Yes
inprogress_01, Sara Rossi,2477.476,1200,559,10,2/28/14,Portrait,Craft,Craft Digital,Digital,Italy,Yes
Rows of trees 1, xuan khanh nguyen,197.192,1200,544,13,11/4/15,Landscape,Liquid,Liquid,Liquiding,Vietnam,Yes
Women at bath, WILFRID MINATCHY,1264.96,1200,996,15,12/31/01,People,Craft,Craft,Drawing,France,No
Nude IV, Sabina Fabryczny,2975.488,1200,823,59,11/23/10,Body,Craft,Craft Craft Craft Liquid Craft,Drawing,Ireland,Yes
Des Monstres VI , Flora Borsi,620.944,1200,3220,63,11/4/13,Portrait,Craft,Craft & White Digital,Digital,Hungary,No
Facet of the Heart 11, James Watts,1167.894,1200,565,10,9/17/14,Abstract,Solid,Solid Solid,Sculpture,Australia,Yes
orang-outan, Veronique Egloff,992.88,1200,239,5,9/22/14,Animal,Liquid,Liquid,Liquiding,France,No
Lucy, Winston Torr,992.88,1200,942,21,5/13/15,Fashion,Liquid,Liquid Craft magazines,Collage,Germany,Yes
The luckiest place on Earth, Julia Hacker,864,1200,1204,8,3/13/13,Fashion,Solid,Liquid,Collage,Canada,Yes
FaceEight, Guy Marino,960,1200,783,14,2/5/14,People,Digital,Digital,Digital,United States,Yes
Deep Breath, Jade Fenu,1782.272,1200,423,17,3/1/15,Portrait,Solid,Liquid Spray Liquid,Liquiding,France,Yes
if you desire your own divinity come out of yourself. Limited Edition. 2 of 20, Ramin Samandari,384,1200,247,0,12/31/07,World Culture,Digital,Other Digital,Digital,United States,No
Innocenza , Kathleen Veronesi,21.6,1250,535,7,6/5/12,Animal,Craft,Craft Other Craft Rabbit Skin Glue Bee Wax,Drawing,United States,No
La Baie de Somme 2/LIMITED EDITION Craft 1 of 8, Clive Frost,1083.444,1250,605,15,8/31/94,Transportation,Digital,Digital Other Craft,Digital,United Kingdom,No
Lycoris Radiata, Sarina Villareal,3200,1280,757,21,8/12/13,Botanic,Liquid,Liquid,Liquiding,United States,No
